Language,Energy (J),Time (ms),Ratio (J/ms)
C#,742.25,50870.76,0.01
C#,742.25,50870.76,0.01
C#,742.25,50870.76,0.01
C#,742.25,50870.76,0.01
C#,742.25,50870.76,0.01
C#,742.25,50870.76,0.01
C#,742.25,50870.76,0.01
C,714.22,48438.03,0.01
C++,1002.16,71328.72,0.01
C#,742.25,50870.76,0.01
Java,729.42,49009.17,0.01
C,714.22,48438.03,0.01
C++,1002.16,71328.72,0.01
C#,742.25,50870.76,0.01
Java,729.42,49009.17,0.01
C,714.22,48438.03,0.01
C++,1002.16,71328.72,0.01
C#,742.25,50870.76,0.01
Java,729.42,49009.17,0.01
C,714.22,48438.03,0.01
C++,1002.16,71328.72,0.01
C#,742.25,50870.76,0.01
Java,729.42,49009.17,0.01
C,714.22,48438.03,0.01
C++,1002.16,71328.72,0.01
C#,742.25,50870.76,0.01
Java,729.42,49009.17,0.01
C,714.22,48438.03,0.01
C++,1002.16,71328.72,0.01
C#,742.25,50870.76,0.01
Java,729.42,49009.17,0.01
