Algorithm,Package Energy (J),Core Energy (J),Uncore Energy (J),DRAM Energy (J),Elapsed Time (ms),Total Memory (MB),Peak Memory (MB)
fasta,625.49,528.24,0.0,4.92,8787,12.23,0
fasta,649.8,538.89,0.0,5.6,10014,12.23,0
fasta,567.48,470.76,0.0,4.89,8738,12.23,0
fasta,642.46,532.85,0.0,5.53,9898,12.23,0
fasta,642.83,533.22,0.0,5.53,9897,12.23,0
fasta,657.7,545.5,0.0,5.67,10137,12.23,0
fasta,606.44,503.0,0.0,5.22,9340,12.23,0
fasta,574.29,476.47,0.0,4.94,8835,12.23,0
fasta,521.05,432.13,0.0,4.49,8031,12.23,0
fasta,484.66,402.01,0.0,4.18,7467,12.23,0
